corruption,severity,ttt_mode,n_samples,class_0,class_1,class_2,class_3,class_4,class_5,class_6,class_7,class_8,class_9
defocus_blur,1,baseline,10000,0.921,0.957,0.845,0.783,0.881,0.825,0.939,0.914,0.948,0.942
defocus_blur,1,per_batch,10000,0.923,0.957,0.844,0.782,0.885,0.824,0.944,0.914,0.951,0.943
defocus_blur,1,per_image,1000,0.93,0.96,0.87,0.76,0.87,0.87,0.92,0.94,0.96,0.92
defocus_blur,2,baseline,10000,0.914,0.952,0.839,0.791,0.879,0.809,0.916,0.899,0.946,0.935
defocus_blur,2,per_batch,10000,0.916,0.953,0.839,0.789,0.892,0.812,0.927,0.904,0.947,0.937
defocus_blur,2,per_image,1000,0.93,0.94,0.84,0.79,0.93,0.84,0.9,0.91,0.95,0.93
defocus_blur,3,baseline,10000,0.909,0.941,0.843,0.807,0.874,0.775,0.883,0.874,0.937,0.926
defocus_blur,3,per_batch,10000,0.912,0.944,0.84,0.79,0.884,0.787,0.906,0.886,0.941,0.93
defocus_blur,3,per_image,1000,0.97,0.92,0.87,0.8,0.87,0.81,0.94,0.9,0.93,0.95
defocus_blur,4,baseline,10000,0.898,0.929,0.852,0.807,0.847,0.733,0.828,0.843,0.931,0.914
defocus_blur,4,per_batch,10000,0.905,0.93,0.844,0.794,0.88,0.766,0.862,0.854,0.938,0.922
defocus_blur,4,per_image,1000,0.9,0.92,0.87,0.86,0.88,0.8,0.87,0.89,0.93,0.94
defocus_blur,5,baseline,10000,0.863,0.867,0.844,0.79,0.759,0.664,0.702,0.737,0.902,0.852
defocus_blur,5,per_batch,10000,0.874,0.883,0.827,0.781,0.838,0.7,0.791,0.791,0.923,0.888
defocus_blur,5,per_image,1000,0.81,0.88,0.89,0.78,0.73,0.74,0.76,0.7,0.9,0.79
glass_blur,1,baseline,10000,0.861,0.767,0.663,0.598,0.84,0.63,0.966,0.768,0.86,0.854
glass_blur,1,per_batch,10000,0.872,0.789,0.67,0.623,0.85,0.65,0.958,0.791,0.86,0.86
glass_blur,1,per_image,1000,0.93,0.76,0.64,0.58,0.88,0.64,0.93,0.84,0.87,0.89
glass_blur,2,baseline,10000,0.888,0.8,0.668,0.625,0.84,0.628,0.958,0.765,0.852,0.826
glass_blur,2,per_batch,10000,0.887,0.809,0.683,0.638,0.846,0.646,0.95,0.782,0.852,0.835
glass_blur,2,per_image,1000,0.91,0.8,0.68,0.62,0.78,0.74,0.92,0.84,0.84,0.82
glass_blur,3,baseline,10000,0.853,0.797,0.676,0.696,0.858,0.669,0.952,0.758,0.874,0.85
glass_blur,3,per_batch,10000,0.863,0.814,0.689,0.68,0.861,0.692,0.952,0.77,0.882,0.856
glass_blur,3,per_image,1000,0.92,0.77,0.64,0.64,0.81,0.66,0.96,0.8,0.89,0.88
glass_blur,4,baseline,10000,0.844,0.619,0.561,0.532,0.765,0.457,0.969,0.638,0.771,0.732
glass_blur,4,per_batch,10000,0.854,0.663,0.588,0.552,0.782,0.51,0.954,0.675,0.772,0.757
glass_blur,4,per_image,1000,0.86,0.65,0.6,0.45,0.82,0.49,0.94,0.62,0.78,0.77
glass_blur,5,baseline,10000,0.846,0.655,0.585,0.579,0.824,0.522,0.955,0.664,0.818,0.771
glass_blur,5,per_batch,10000,0.852,0.678,0.598,0.593,0.842,0.552,0.951,0.686,0.816,0.786
glass_blur,5,per_image,1000,0.79,0.67,0.56,0.51,0.84,0.58,0.92,0.56,0.83,0.77
motion_blur,1,baseline,10000,0.891,0.948,0.858,0.826,0.86,0.768,0.872,0.88,0.937,0.904
motion_blur,1,per_batch,10000,0.905,0.954,0.863,0.81,0.869,0.776,0.887,0.888,0.942,0.91
motion_blur,1,per_image,1000,0.89,0.96,0.84,0.8,0.87,0.84,0.86,0.94,0.94,0.94
motion_blur,2,baseline,10000,0.88,0.926,0.858,0.832,0.82,0.689,0.769,0.818,0.919,0.855
motion_blur,2,per_batch,10000,0.889,0.938,0.867,0.82,0.831,0.693,0.812,0.836,0.931,0.864
motion_blur,2,per_image,1000,0.87,0.88,0.83,0.81,0.84,0.72,0.68,0.79,0.94,0.89
