corruption,severity,ttt_mode,n_samples,class_0,class_1,class_2,class_3,class_4,class_5,class_6,class_7,class_8,class_9
defocus_blur,1,baseline,10000,0.924,0.958,0.844,0.784,0.883,0.826,0.937,0.914,0.949,0.943
defocus_blur,1,per_batch,10000,0.924,0.958,0.844,0.783,0.883,0.826,0.937,0.914,0.949,0.943
defocus_blur,1,per_image,1000,0.91,0.94,0.85,0.79,0.83,0.83,0.92,0.87,0.95,0.97
defocus_blur,2,baseline,10000,0.917,0.952,0.841,0.793,0.881,0.813,0.919,0.899,0.945,0.936
defocus_blur,2,per_batch,10000,0.917,0.952,0.84,0.794,0.881,0.813,0.919,0.899,0.945,0.936
defocus_blur,2,per_image,1000,0.94,0.93,0.92,0.75,0.91,0.82,0.89,0.93,0.97,0.96
defocus_blur,3,baseline,10000,0.909,0.941,0.843,0.807,0.874,0.775,0.883,0.874,0.937,0.926
defocus_blur,3,per_batch,10000,0.909,0.941,0.843,0.806,0.875,0.775,0.883,0.874,0.937,0.926
defocus_blur,3,per_image,1000,0.89,0.92,0.81,0.84,0.86,0.81,0.86,0.83,0.93,0.9
defocus_blur,4,baseline,10000,0.898,0.929,0.852,0.807,0.847,0.733,0.828,0.843,0.931,0.914
defocus_blur,4,per_batch,10000,0.898,0.93,0.852,0.808,0.849,0.736,0.829,0.843,0.931,0.914
defocus_blur,4,per_image,1000,0.93,0.92,0.84,0.81,0.82,0.79,0.82,0.89,0.89,0.94
defocus_blur,5,baseline,10000,0.863,0.867,0.844,0.791,0.759,0.664,0.702,0.737,0.902,0.852
defocus_blur,5,per_batch,10000,0.864,0.867,0.843,0.79,0.764,0.666,0.705,0.738,0.902,0.853
defocus_blur,5,per_image,1000,0.89,0.93,0.92,0.77,0.75,0.67,0.64,0.77,0.93,0.86
glass_blur,1,baseline,10000,0.861,0.768,0.662,0.599,0.84,0.63,0.966,0.768,0.86,0.854
glass_blur,1,per_batch,10000,0.861,0.768,0.662,0.598,0.84,0.63,0.966,0.769,0.86,0.853
glass_blur,1,per_image,1000,0.87,0.77,0.77,0.63,0.83,0.68,0.94,0.79,0.85,0.76
glass_blur,2,baseline,10000,0.887,0.795,0.671,0.626,0.843,0.63,0.955,0.765,0.852,0.829
glass_blur,2,per_batch,10000,0.887,0.795,0.67,0.626,0.843,0.63,0.955,0.766,0.852,0.832
glass_blur,2,per_image,1000,0.83,0.8,0.64,0.54,0.84,0.65,0.97,0.75,0.91,0.86
glass_blur,3,baseline,10000,0.857,0.797,0.682,0.68,0.862,0.686,0.954,0.761,0.88,0.854
glass_blur,3,per_batch,10000,0.858,0.798,0.681,0.68,0.862,0.686,0.954,0.761,0.88,0.855
glass_blur,3,per_image,1000,0.8,0.8,0.7,0.71,0.86,0.66,0.93,0.73,0.83,0.89
glass_blur,4,baseline,10000,0.849,0.619,0.58,0.524,0.765,0.473,0.963,0.649,0.773,0.73
glass_blur,4,per_batch,10000,0.849,0.619,0.579,0.524,0.765,0.474,0.962,0.649,0.773,0.73
glass_blur,4,per_image,1000,0.89,0.58,0.57,0.53,0.73,0.45,0.94,0.65,0.78,0.79
glass_blur,5,baseline,10000,0.846,0.655,0.585,0.58,0.824,0.522,0.955,0.664,0.817,0.771
glass_blur,5,per_batch,10000,0.846,0.655,0.585,0.58,0.824,0.523,0.953,0.665,0.818,0.771
glass_blur,5,per_image,1000,0.79,0.63,0.6,0.59,0.84,0.51,0.94,0.67,0.78,0.73
motion_blur,1,baseline,10000,0.899,0.95,0.855,0.822,0.862,0.77,0.87,0.88,0.935,0.905
motion_blur,1,per_batch,10000,0.899,0.95,0.856,0.822,0.862,0.77,0.872,0.881,0.936,0.905
motion_blur,1,per_image,1000,0.84,0.93,0.87,0.81,0.84,0.81,0.92,0.89,0.97,0.9
motion_blur,2,baseline,10000,0.88,0.925,0.859,0.831,0.819,0.687,0.766,0.817,0.919,0.852
motion_blur,2,per_batch,10000,0.88,0.925,0.859,0.831,0.819,0.687,0.767,0.818,0.918,0.852
motion_blur,2,per_image,1000,0.86,0.9,0.88,0.82,0.8,0.64,0.78,0.83,0.92,0.89
